Palmitic Acid (C16:0),Palmitoleic Acid (C16:1),Heptadecanoic Acid (C17:0),Heptadecenoic Acid (C17:1),Stearic Acid (C18:0),Oleic Acid (C18:1),Linoleic Acid (C18:2),Linolenic Acid (C18:3),Arachidic Acid (C20:0),Gadoleic Acid (Eicosenoic) (C20:1),Behenic Acid (C22:0),Lignoceric Acid (C24:0)
20.0,1.5,0.2,0.3,2.2,67.3,7.6,0.3,0.5,0.3,0.0,0.0
16.1,1.2,0.1,0.2,2.5,72.4,6.1,0.5,0.5,0.3,0.1,0.0
13.1,0.7,0.0,0.1,2.6,77.4,4.4,0.5,0.5,0.3,0.1,0.0
12.2,0.6,0.1,0.1,2.5,76.8,6.3,0.6,0.4,0.4,0.1,0.0
13.4,0.8,0.0,0.1,2.4,73.8,8.0,0.7,0.4,0.3,0.1,0.0
13.6,1.0,0.1,0.1,3.0,75.0,5.9,0.6,0.4,0.3,0.1,0.0
13.8,1.1,0.1,0.1,2.8,71.8,8.8,0.6,0.5,0.3,0.1,0.0
16.5,1.6,0.1,0.1,2.6,63.8,13.9,0.6,0.5,0.3,0.1,0.0
15.4,1.4,0.0,0.1,2.6,65.4,13.6,0.7,0.5,0.3,0.1,0.0
13.0,0.6,0.1,0.1,2.6,76.7,5.4,0.7,0.4,0.3,0.1,0.0
12.4,0.8,0.1,0.1,3.8,75.5,5.9,0.6,0.4,0.2,0.1,0.0
14.7,0.7,0.1,0.1,2.5,67.2,12.8,0.9,0.5,0.4,0.1,0.1
12.8,0.7,0.1,0.1,2.6,76.4,5.7,0.7,0.5,0.3,0.2,0.0
12.6,0.9,0.1,0.1,3.8,75.3,5.9,0.6,0.5,0.3,0.1,0.0
14.6,1.2,0.1,0.1,3.0,65.3,14.1,0.6,0.5,0.3,0.1,0.1
15.5,1.0,0.1,0.1,2.6,63.0,16.2,0.8,0.5,0.3,0.1,0.1
15.3,0.9,0.1,0.1,2.6,63.1,16.3,0.8,0.5,0.3,0.1,0.1
14.8,0.9,0.1,0.1,2.7,65.6,14.5,0.6,0.5,0.2,0.1,0.1
17.1,1.9,0.1,0.2,2.2,62.9,14.1,0.7,0.5,0.3,0.1,0.1
17.0,1.9,0.1,0.2,2.2,62.9,14.2,0.7,0.4,0.3,0.1,0.1
14.7,1.0,0.1,0.1,2.4,64.0,16.0,0.8,0.5,0.2,0.1,0.1
14.7,1.0,0.1,0.1,2.5,64.6,15.4,0.9,0.5,0.2,0.1,0.1
14.5,0.9,0.1,0.1,2.5,64.5,15.7,0.9,0.5,0.2,0.2,0.1
14.9,1.0,0.1,0.1,2.6,67.7,11.9,0.8,0.5,0.3,0.1,0.1
15.0,1.0,0.1,0.1,2.7,65.1,14.4,0.7,0.5,0.2,0.1,0.1
11.6,0.8,0.0,0.1,4.1,77.4,4.6,0.6,0.4,0.2,0.1,0.0
16.6,1.3,0.1,0.1,2.2,67.1,11.0,0.7,0.5,0.3,0.1,0.1
11.8,0.8,0.1,0.1,4.0,76.6,5.2,0.6,0.4,0.2,0.1,0.0
9.8,0.5,0.1,0.2,3.7,75.8,8.4,0.6,0.4,0.3,0.1,0.0
12.6,0.9,0.1,0.1,3.6,72.5,8.7,0.7,0.5,0.3,0.1,0.0
14.0,0.7,0.1,0.2,3.8,70.2,9.4,0.6,0.5,0.3,0.1,0.1
15.8,1.0,0.1,0.1,2.6,63.1,15.5,0.9,0.5,0.3,0.1,0.1
14.5,0.8,0.1,0.1,3.0,68.0,11.9,0.8,0.5,0.3,0.1,0.1
14.4,0.8,0.1,0.1,3.0,68.0,12.0,0.8,0.5,0.3,0.1,0.1
15.3,0.9,0.1,0.1,2.7,66.6,12.8,0.7,0.5,0.2,0.1,0.1
15.7,1.0,0.0,0.1,2.6,65.0,14.1,0.7,0.4,0.2,0.1,0.1
15.4,0.7,0.2,0.2,3.7,66.0,12.3,0.7,0.5,0.3,0.1,0.1
13.7,0.7,0.1,0.1,2.8,70.1,10.9,0.8,0.5,0.3,0.1,0.1
14.2,0.7,0.1,0.1,2.5,70.7,10.1,0.8,0.5,0.4,0.1,0.1
14.4,0.7,0.1,0.1,2.6,69.4,11.0,0.8,0.5,0.3,0.1,0.1
14.7,0.8,0.0,0.1,2.7,68.4,11.7,0.7,0.5,0.3,0.1,0.1
15.1,1.0,0.0,0.1,2.5,64.4,15.4,0.8,0.4,0.3,0.1,0.1
15.1,1.0,0.0,0.1,2.4,63.0,17.0,0.7,0.4,0.2,0.1,0.1
15.0,1.0,0.0,0.1,2.4,62.8,17.3,0.7,0.4,0.2,0.1,0.1
15.1,1.0,0.0,0.1,2.3,62.6,17.4,0.7,0.4,0.2,0.1,0.1
15.1,1.0,0.0,0.1,2.4,62.8,17.1,0.7,0.4,0.2,0.1,0.1
15.1,1.0,0.0,0.1,2.3,62.6,17.4,0.7,0.4,0.2,0.1,0.1
15.0,0.9,0.1,0.1,2.4,62.5,17.5,0.7,0.4,0.2,0.1,0.1
15.1,1.0,0.0,0.1,2.4,63.0,17.0,0.7,0.4,0.2,0.1,0.1
15.1,0.9,0.1,0.1,2.7,68.0,11.6,0.7,0.5,0.2,0.1,0.1
15.1,0.9,0.1,0.1,2.7,67.9,11.6,0.8,0.5,0.3,0.1,0.1
15.0,0.9,0.1,0.1,2.7,67.5,12.2,0.8,0.5,0.2,0.1,0.1
15.0,0.9,0.1,0.1,2.7,67.3,12.3,0.8,0.5,0.2,0.1,0.1
14.9,0.9,0.1,0.1,2.7,67.4,12.3,0.8,0.5,0.2,0.1,0.1
14.9,0.9,0.1,0.1,2.6,66.0,13.6,0.8,0.5,0.3,0.1,0.1
15.3,1.0,0.0,0.1,2.5,64.7,14.8,0.8,0.5,0.2,0.1,0.1
15.6,1.0,0.1,0.1,2.4,64.1,15.2,0.7,0.4,0.2,0.1,0.1
15.5,1.0,0.1,0.1,2.4,64.5,14.8,0.8,0.5,0.2,0.1,0.1
15.5,1.0,0.0,0.1,2.4,64.4,15.1,0.8,0.4,0.2,0.1,0.1
15.6,1.0,0.1,0.1,2.5,64.1,15.1,0.8,0.5,0.2,0.1,0.1
10.8,0.8,0.1,0.1,3.2,78.2,5.4,0.7,0.4,0.2,0.1,0.0
10.8,0.7,0.1,0.1,3.2,79.0,4.8,0.7,0.4,0.2,0.1,0.0
16.5,1.5,0.1,0.2,1.8,66.5,11.9,0.6,0.4,0.3,0.1,0.1
12.8,1.1,0.1,0.1,2.9,73.6,8.1,0.7,0.4,0.2,0.1,0.0
12.4,1.0,0.1,0.1,2.4,75.1,7.5,0.6,0.4,0.3,0.1,0.0
11.9,0.9,0.0,0.1,2.9,75.3,7.5,0.6,0.4,0.2,0.1,0.0
11.9,0.9,0.1,0.2,2.8,76.7,6.1,0.7,0.4,0.3,0.1,0.1
14.4,1.0,0.1,0.3,1.9,72.1,8.3,1.0,0.4,0.3,0.1,0.1
13.0,1.1,0.0,0.1,2.4,77.9,4.0,0.8,0.4,0.3,0.1,0.0
13.1,1.1,0.0,0.1,3.1,71.6,9.4,0.7,0.4,0.2,0.1,0.0
16.2,1.5,0.1,0.3,1.9,68.0,10.7,0.6,0.4,0.3,0.1,0.1
17.8,1.9,0.1,0.2,1.8,61.3,15.3,0.7,0.4,0.3,0.1,0.1
12.6,0.8,0.0,0.1,2.2,77.4,5.3,0.7,0.4,0.3,0.1,0.0
13.2,0.9,0.0,0.1,2.5,75.9,5.8,0.8,0.5,0.3,0.1,0.1
16.8,1.7,0.1,0.3,2.0,69.7,7.8,0.6,0.4,0.3,0.2,0.1
12.1,0.7,0.0,0.1,1.8,77.5,6.1,0.8,0.4,0.3,0.1,0.0
15.8,1.5,0.1,0.2,1.8,68.5,10.7,0.6,0.4,0.3,0.1,0.1
13.4,1.0,0.1,0.1,3.0,73.9,7.2,0.6,0.4,0.2,0.1,0.0
11.2,0.8,0.1,0.1,2.9,78.6,5.1,0.6,0.4,0.2,0.1,0.0
12.9,1.2,0.0,0.1,2.9,72.3,9.1,0.7,0.4,0.2,0.1,0.0
12.1,0.9,0.0,0.1,3.1,75.3,7.0,0.7,0.4,0.2,0.1,0.0
14.5,0.7,0.1,0.1,3.4,68.9,10.5,0.7,0.6,0.3,0.1,0.1
11.1,0.8,0.1,0.1,3.5,76.9,6.2,0.6,0.4,0.2,0.1,0.0
11.2,0.8,0.1,0.1,3.1,75.4,7.9,0.7,0.4,0.3,0.1,0.0
11.0,0.9,0.0,0.1,3.7,79.0,3.9,0.7,0.4,0.2,0.1,0.0
11.1,0.8,0.1,0.1,3.3,78.3,5.0,0.7,0.4,0.2,0.1,0.0
14.2,0.8,0.0,0.0,2.5,67.5,13.6,0.6,0.4,0.2,0.1,0.1
14.3,0.8,0.0,0.0,2.4,67.5,13.6,0.6,0.4,0.2,0.1,0.1
14.2,0.8,0.0,0.0,1.2,68.3,14.0,0.7,0.4,0.2,0.1,0.0
14.2,0.8,0.0,0.1,2.5,67.6,13.5,0.6,0.4,0.2,0.1,0.0
13.8,0.8,0.0,0.0,2.4,67.9,13.6,0.6,0.4,0.2,0.1,0.1
14.3,0.8,0.0,0.0,2.4,67.5,13.6,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.0,2.4,67.4,13.6,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.0,2.4,67.5,13.5,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.0,2.4,67.4,13.5,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.0,2.5,67.5,13.4,0.6,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.5,67.5,13.4,0.6,0.4,0.2,0.1,0.0
14.5,0.9,0.0,0.1,2.3,67.3,13.7,0.6,0.4,0.2,0.1,0.0
15.8,1.0,0.0,0.1,2.5,66.3,12.9,0.5,0.4,0.2,0.1,0.1
15.7,1.0,0.0,0.1,2.6,66.3,12.9,0.6,0.4,0.2,0.1,0.1
15.7,1.1,0.0,0.1,2.6,66.6,12.6,0.6,0.4,0.2,0.1,0.1
15.5,0.9,0.0,0.1,2.5,66.9,12.9,0.6,0.4,0.2,0.1,0.0
15.5,0.9,0.0,0.1,2.5,66.8,12.9,0.6,0.4,0.2,0.1,0.1
15.5,0.9,0.0,0.1,2.5,67.0,12.7,0.5,0.4,0.2,0.1,0.0
15.5,0.9,0.0,0.1,2.5,66.9,12.8,0.6,0.4,0.2,0.1,0.0
15.5,0.9,0.0,0.1,2.5,66.9,12.8,0.6,0.4,0.2,0.1,0.1
15.5,0.9,0.0,0.1,2.5,66.7,12.9,0.6,0.4,0.2,0.1,0.0
15.4,0.9,0.0,0.0,2.5,66.8,12.9,0.6,0.4,0.2,0.1,0.0
15.5,1.0,0.0,0.0,2.5,66.8,12.8,0.6,0.4,0.2,0.1,0.0
15.9,1.2,0.1,0.0,2.6,66.4,12.5,0.5,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.4,67.3,13.7,0.6,0.4,0.2,0.1,0.0
14.5,0.9,0.0,0.1,2.3,67.2,13.7,0.7,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.4,67.4,13.6,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.1,2.4,67.6,13.4,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.1,2.5,67.6,13.4,0.6,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.4,67.7,13.2,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.1,2.4,67.6,13.4,0.6,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.4,67.8,13.2,0.6,0.4,0.2,0.1,0.0
14.3,0.8,0.0,0.1,2.4,67.6,13.4,0.6,0.4,0.2,0.1,0.0
14.2,0.8,0.0,0.1,2.4,67.8,13.3,0.6,0.4,0.2,0.1,0.0
14.4,0.8,0.0,0.1,2.3,67.2,13.7,0.6,0.4,0.2,0.1,0.1
14.4,0.9,0.0,0.1,2.2,67.3,13.8,0.6,0.4,0.2,0.1,0.0
15.6,0.9,0.0,0.1,2.5,66.6,13.0,0.6,0.4,0.2,0.1,0.0
15.8,1.0,0.1,0.0,2.6,66.3,12.9,0.6,0.4,0.2,0.1,0.0
15.5,0.9,0.0,0.0,2.5,66.7,12.9,0.6,0.4,0.2,0.1,0.0
15.5,1.0,0.0,0.1,2.5,66.7,13.0,0.5,0.4,0.2,0.1,0.0
15.4,0.9,0.0,0.1,2.5,66.8,13.0,0.6,0.4,0.2,0.1,0.0
15.6,0.9,0.0,0.0,2.5,66.6,13.0,0.6,0.4,0.2,0.1,0.0
15.4,1.0,0.0,0.1,2.5,66.8,12.9,0.6,0.4,0.2,0.1,0.0
15.3,0.9,0.0,0.1,2.5,67.2,12.6,0.6,0.4,0.2,0.1,0.0
15.6,1.0,0.0,0.1,2.5,66.7,12.9,0.6,0.4,0.2,0.1,0.0
15.6,0.9,0.0,0.1,2.5,66.6,13.0,0.6,0.4,0.2,0.1,0.0
15.4,0.9,0.0,0.1,2.5,66.8,13.0,0.5,0.4,0.2,0.1,0.0
15.9,0.9,0.0,0.1,2.6,66.3,13.0,0.5,0.4,0.2,0.1,0.1
19.1,2.1,0.1,0.2,1.7,59.5,16.0,0.6,0.4,0.2,0.1,0.0
18.8,2.0,0.1,0.2,1.8,60.2,15.5,0.6,0.4,0.2,0.1,0.1
18.7,2.0,0.1,0.2,1.8,60.3,15.6,0.6,0.4,0.2,0.1,0.0
18.7,2.0,0.1,0.2,1.6,60.2,15.9,0.6,0.4,0.2,0.1,0.0
18.3,2.0,0.1,0.2,1.8,60.5,15.7,0.6,0.4,0.2,0.1,0.0
18.8,2.0,0.1,0.2,1.8,60.3,15.4,0.6,0.4,0.2,0.1,0.1
18.5,2.0,0.1,0.2,1.9,60.5,15.4,0.6,0.4,0.2,0.1,0.1
18.6,2.0,0.1,0.2,1.8,60.4,15.5,0.6,0.4,0.2,0.1,0.1
18.9,2.0,0.1,0.2,1.9,60.2,15.4,0.6,0.4,0.3,0.1,0.0
18.8,2.0,0.1,0.2,1.9,60.4,15.3,0.5,0.4,0.3,0.1,0.0
18.9,2.0,0.1,0.2,1.9,60.6,15.2,0.5,0.4,0.4,0.1,0.0
18.8,2.0,0.1,0.2,1.9,60.5,15.2,0.5,0.4,0.2,0.1,0.0
21.0,2.3,0.1,0.2,2.0,59.0,14.1,0.5,0.4,0.2,0.1,0.1
20.7,2.1,0.1,0.2,2.0,59.3,14.3,0.5,0.4,0.2,0.1,0.0
20.5,2.1,0.1,0.2,1.9,59.6,14.4,0.5,0.4,0.2,0.1,0.0
20.8,2.1,0.1,0.2,2.0,59.4,14.2,0.5,0.4,0.2,0.1,0.0
20.8,2.1,0.1,0.2,2.0,59.3,14.2,0.5,0.4,0.2,0.1,0.0
20.7,2.0,0.1,0.2,2.0,59.5,14.1,0.5,0.4,0.2,0.1,0.0
20.4,2.1,0.1,0.2,2.0,59.6,14.5,0.5,0.4,0.2,0.1,0.0
20.8,2.1,0.1,0.2,2.0,59.5,14.2,0.5,0.4,0.2,0.1,0.0
20.5,2.1,0.1,0.2,2.0,59.4,14.5,0.5,0.4,0.2,0.1,0.1
20.7,2.1,0.1,0.2,2.0,59.4,14.3,0.5,0.4,0.2,0.1,0.1
20.6,2.1,0.1,0.2,1.9,59.3,14.5,0.5,0.4,0.2,0.1,0.0
18.6,1.7,0.1,0.2,2.1,62.0,14.1,0.5,0.4,0.2,0.1,0.0
18.6,2.0,0.1,0.2,1.9,60.6,15.4,0.6,0.4,0.2,0.1,0.0
18.7,2.0,0.1,0.2,1.9,60.4,15.5,0.6,0.4,0.2,0.1,0.0
18.5,1.9,0.1,0.2,1.9,60.8,15.2,0.5,0.4,0.2,0.1,0.1
18.7,2.0,0.1,0.2,1.9,60.5,15.3,0.6,0.4,0.2,0.1,0.0
18.3,1.9,0.1,0.2,1.9,61.0,15.2,0.6,0.4,0.2,0.1,0.0
18.4,2.0,0.1,0.2,1.9,60.5,15.6,0.6,0.4,0.2,0.1,0.0
20.4,1.9,0.1,0.2,1.9,59.4,14.8,0.5,0.4,0.2,0.1,0.0
18.8,1.9,0.1,0.2,1.9,60.5,15.2,0.6,0.4,0.2,0.1,0.0
19.7,1.9,0.1,0.2,2.0,59.8,14.9,0.5,0.4,0.2,0.1,0.1
20.1,2.1,0.1,0.2,2.0,59.8,14.5,0.5,0.4,0.2,0.1,0.0
19.5,2.0,0.1,0.2,2.0,59.8,15.0,0.6,0.4,0.2,0.1,0.1
19.9,2.0,0.1,0.2,2.0,59.4,14.9,0.5,0.5,0.3,0.1,0.1
21.4,2.1,0.1,0.2,2.0,58.6,14.4,0.5,0.4,0.2,0.1,0.1
21.4,2.0,0.1,0.2,2.0,58.9,14.2,0.5,0.4,0.2,0.1,0.0
21.0,2.0,0.1,0.2,2.0,58.9,14.5,0.5,0.4,0.2,0.1,0.0
20.6,2.0,0.1,0.2,2.0,59.2,14.6,0.5,0.4,0.2,0.1,0.0
20.7,2.0,0.1,0.2,2.0,59.4,14.3,0.5,0.4,0.2,0.1,0.0
20.9,2.0,0.1,0.2,2.0,59.1,14.3,0.5,0.4,0.2,0.1,0.0
20.5,2.1,0.1,0.2,2.0,59.3,14.5,0.5,0.4,0.2,0.1,0.1
20.4,2.1,0.1,0.2,2.0,59.4,14.6,0.5,0.4,0.2,0.1,0.0
20.8,2.1,0.1,0.2,1.9,59.0,14.5,0.5,0.4,0.2,0.1,0.1
20.5,2.1,0.1,0.2,1.9,59.2,14.6,0.5,0.4,0.2,0.1,0.1
20.6,2.1,0.1,0.2,1.9,59.2,14.7,0.5,0.4,0.2,0.1,0.0
20.4,2.0,0.1,0.2,5.3,56.6,14.2,0.5,0.4,0.2,0.1,0.0
16.2,0.8,0.2,0.2,3.3,63.7,14.3,0.6,0.5,0.3,0.1,0.1
16.1,0.8,0.2,0.2,3.3,63.7,14.3,0.6,0.5,0.3,0.1,0.1
16.1,0.8,0.2,0.2,3.3,63.7,14.3,0.6,0.5,0.3,0.1,0.1
16.1,0.8,0.2,0.2,3.3,63.6,14.4,0.6,0.5,0.3,0.1,0.1
17.4,0.9,0.2,0.2,3.4,63.1,13.6,0.5,0.5,0.2,0.1,0.0
16.2,0.7,0.2,0.2,3.3,63.5,14.3,0.6,0.5,0.3,0.1,0.1
16.3,0.7,0.2,0.2,3.3,63.5,14.2,0.6,0.5,0.3,0.1,0.1
16.3,0.8,0.2,0.2,3.3,63.4,14.3,0.6,0.5,0.3,0.1,0.1
16.1,0.7,0.2,0.2,3.3,63.9,14.1,0.6,0.5,0.3,0.1,0.1
16.9,0.9,0.2,0.2,3.3,63.3,13.9,0.6,0.5,0.2,0.1,0.0
16.9,0.9,0.2,0.2,3.3,63.4,13.9,0.6,0.5,0.2,0.1,0.0
17.0,0.8,0.2,0.2,3.3,63.2,13.9,0.6,0.5,0.2,0.1,0.0
17.6,1.0,0.2,0.2,3.4,62.7,13.7,0.5,0.4,0.2,0.1,0.0
17.6,0.8,0.2,0.2,3.4,62.8,13.7,0.5,0.4,0.2,0.1,0.0
17.4,0.8,0.2,0.2,3.3,63.2,13.7,0.5,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.4,13.9,0.5,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.4,14.0,0.5,0.4,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.2,13.9,0.5,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.6,13.7,0.6,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.3,13.9,0.5,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.4,14.0,0.5,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.3,14.0,0.5,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.4,13.9,0.5,0.4,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.3,14.0,0.6,0.5,0.2,0.1,0.0
16.8,0.9,0.2,0.2,3.3,63.4,14.0,0.6,0.5,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.5,14.0,0.6,0.5,0.2,0.1,0.0
17.1,0.9,0.1,0.2,3.3,63.1,14.0,0.7,0.5,0.2,0.1,0.0
16.8,0.9,0.2,0.2,3.3,63.6,13.8,0.5,0.4,0.2,0.1,0.0
15.9,0.9,0.2,0.2,3.3,64.0,14.3,0.6,0.4,0.2,0.1,0.0
16.7,0.8,0.1,0.2,3.4,63.7,14.0,0.5,0.4,0.2,0.1,0.0
16.8,1.0,0.2,0.2,3.3,63.4,13.9,0.6,0.4,0.2,0.1,0.0
16.3,0.9,0.1,0.2,3.3,63.8,14.0,0.6,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.4,0.2,0.1,0.0
16.4,0.8,0.2,0.2,3.1,63.9,14.2,0.5,0.4,0.2,0.1,0.0
16.7,0.9,0.2,0.2,3.3,63.6,13.9,0.6,0.5,0.2,0.1,0.0
17.5,0.8,0.2,0.2,3.3,62.9,13.8,0.6,0.5,0.2,0.1,0.0
17.6,0.8,0.2,0.2,3.4,62.8,13.8,0.5,0.5,0.2,0.1,0.0
17.7,0.9,0.2,0.2,3.4,62.7,13.6,0.5,0.5,0.2,0.1,0.0
17.4,0.9,0.1,0.2,3.3,62.9,13.9,0.6,0.4,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.1,14.0,0.6,0.5,0.2,0.1,0.0
17.3,0.8,0.2,0.2,3.3,63.0,13.9,0.5,0.5,0.2,0.1,0.0
17.1,0.8,0.1,0.2,3.3,63.3,13.9,0.6,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.3,14.0,0.6,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.2,63.3,14.0,0.5,0.4,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.2,13.9,0.6,0.5,0.2,0.1,0.0
16.9,0.8,0.1,0.2,3.3,63.3,14.0,0.5,0.5,0.2,0.1,0.0
17.0,0.8,0.1,0.2,3.3,63.2,14.0,0.6,0.5,0.2,0.1,0.0

